Wassertank v1
Modus: Zwei-Punkt-Regler
timestamp [s]; pump rpm [1/min]; pump state; p1 [Pa]; p2 [Pa]; valve status; floatswitch status
 260.1;    0; OFF     ;     0; 17085; 0; 0                                                          
 261.1;    0; OFF     ;     0; 17078; 0; 0                                                          
 262.1;    0; OFF     ;     0; 17069; 0; 0                                                          
 263.1;    0; OFF     ;     0; 17059; 0; 0                                                          
 264.1;    0; OFF     ;     0; 17058; 0; 0                                                          
 265.1;    0; OFF     ;     0; 17054; 0; 0                                                          
 266.1;    0; OFF     ;     0; 17054; 0; 0                                                          
 267.1;    0; OFF     ;     0; 17054; 0; 0                                                          
 268.1;    0; OFF     ;     0; 17048; 0; 0                                                          
 269.1;    0; OFF     ;     0; 17041; 0; 0                                                          
 270.1;    0; OFF     ;     0; 17037; 0; 0                                                          
 271.1;    0; OFF     ;     0; 17021; 0; 0                                                          
 272.1;    0; OFF     ;     0; 17013; 0; 0                                                          
 273.1;    0; OFF     ;     0; 17001; 0; 0                                                          
 274.1;    0; OFF     ;     0; 16980; 0; 0                                                          
 275.1;    0; OFF     ;     0; 16975; 0; 0                                                          
 276.1;    0; OFF     ;     0; 16956; 0; 0                                                          
 277.1;    0; OFF     ;     0; 16934; 0; 0                                                          
 278.1;    0; OFF     ;     0; 16933; 0; 0                                                          
 279.1;    0; OFF     ;     0; 16911; 0; 0                                                          
 280.1;    0; OFF     ;     0; 16895; 0; 0                                                          
 281.1;    0; OFF     ;     0; 16888; 0; 0                                                          
 282.1;    0; OFF     ;     0; 16869; 0; 0                                                          
 283.1;    0; OFF     ;     0; 16861; 0; 0                                                          
 284.1;    0; OFF     ;     0; 16852; 0; 0                                                          
 285.1;    0; OFF     ;     0; 16841; 0; 0                                                          
 286.1;    0; OFF     ;     0; 16840; 0; 0                                                          
 287.1;    0; OFF     ;     0; 16836; 0; 0                                                          
 288.1;    0; OFF     ;     0; 16835; 0; 0                                                          
 289.1;    0; OFF     ;     0; 16835; 0; 0                                                          
 290.1;    0; OFF     ;     0; 16830; 0; 0                                                          
 291.1;    0; OFF     ;     0; 16823; 0; 0                                                          
 292.1;    0; OFF     ;     0; 16819; 0; 0                                                          
 293.1;    0; OFF     ;     0; 16805; 0; 0                                                          
 294.1;    0; OFF     ;     0; 16796; 0; 0                                                          
 295.1;    0; OFF     ;     0; 16784; 0; 0                                                          
 296.1;    0; OFF     ;     0; 16763; 0; 0                                                          
 297.1;    0; OFF     ;     0; 16758; 0; 0                                                          
 298.1;    0; OFF     ;     0; 16739; 0; 0                                                          
 299.2;    0; OFF     ;     0; 16718; 0; 0                                                          
 300.2;    0; OFF     ;     0; 16717; 0; 0                                                          
 301.2;    0; OFF     ;     0; 16695; 0; 0                                                          
 302.2;    0; OFF     ;     0; 16679; 0; 0                                                          
 303.2;    0; OFF     ;     0; 16672; 0; 0                                                          
 304.2;    0; OFF     ;     0; 16652; 0; 0                                                          
 305.2;    0; OFF     ;     0; 16644; 0; 0                                                          
 306.2;    0; OFF     ;     0; 16635; 0; 0                                                          
 307.2;    0; OFF     ;     0; 16624; 0; 0                                                          
 308.2;    0; OFF     ;     0; 16622; 0; 0                                                          
 309.2;    0; OFF     ;     0; 16618; 0; 0                                                          
 310.2;    0; OFF     ;     0; 16616; 0; 0                                                          
 311.2;    0; OFF     ;     0; 16616; 0; 0                                                          
 312.2;    0; OFF     ;     0; 16612; 0; 0                                                          
 313.2;    0; OFF     ;     0; 16606; 0; 0                                                          
 314.2;    0; OFF     ;     0; 16602; 0; 0                                                          
 315.2;    0; OFF     ;     0; 16588; 0; 0                                                          
 316.2;    0; OFF     ;     0; 16579; 0; 0                                                          
 317.2;    0; OFF     ;     0; 16568; 0; 0                                                          
 318.2;    0; OFF     ;     0; 16547; 0; 0                                                          
 319.2;    0; OFF     ;     0; 16542; 0; 0                                                          
 320.2;    0; OFF     ;     0; 16523; 0; 0                                                          
 321.2;    0; OFF     ;     0; 16501; 0; 0                                                          
 322.2;    0; OFF     ;     0; 16501; 0; 0                                                          
 323.2;    0; OFF     ;     0; 16479; 0; 0                                                          
 324.2;    0; OFF     ;     0; 16462; 0; 0                                                          
 325.2;    0; OFF     ;     0; 16455; 0; 0                                                          
 326.2;    0; OFF     ;     0; 16435; 0; 0                                                          
 327.2;    0; OFF     ;     0; 16426; 0; 0                                                          
 328.2;    0; OFF     ;     0; 16418; 0; 0                                                          
 329.2;    0; OFF     ;     0; 16406; 0; 0                                                          
 330.2;    0; OFF     ;     0; 16403; 0; 0                                                          
 331.2;    0; OFF     ;     0; 16399; 0; 0                                                          
 332.2;    0; OFF     ;     0; 16397; 0; 0                                                          
 333.2;    0; OFF     ;     0; 16397; 0; 0                                                          
 334.2;    0; OFF     ;     0; 16393; 0; 0                                                          
 335.2;    0; OFF     ;     0; 16387; 0; 0                                                          
 336.2;    0; OFF     ;     0; 16383; 0; 0                                                          
 337.2;    0; OFF     ;     0; 16370; 0; 0                                                          
 338.2;    0; OFF     ;     0; 16361; 0; 0                                                          
 339.2;    0; OFF     ;     0; 16351; 0; 0                                                          
 340.2;    0; OFF     ;     0; 16330; 0; 0                                                          
 341.2;    0; OFF     ;     0; 16324; 0; 0                                                          
 342.2;    0; OFF     ;     0; 16306; 0; 0                                                          
 343.2;    0; OFF     ;     0; 16285; 0; 0                                                          
 344.2;    0; OFF     ;     0; 16284; 0; 0                                                          
 345.2;    0; OFF     ;     0; 16262; 0; 0                                                          
 346.2;    0; OFF     ;     0; 16245; 0; 0                                                          
 347.2;    0; OFF     ;     0; 16239; 0; 0                                                          
 348.2;    0; OFF     ;     0; 16219; 0; 0                                                          
 349.2;    0; OFF     ;     0; 16209; 0; 0                                                          
 350.2;    0; OFF     ;     0; 16201; 0; 0                                                          
 351.2;    0; OFF     ;     0; 16188; 0; 0                                                          
 352.2;    0; OFF     ;     0; 16185; 0; 0                                                          
 353.2;    0; OFF     ;     0; 16180; 0; 0                                                          
 354.2;    0; OFF     ;     0; 16178; 0; 0                                                          
 355.2;    0; OFF     ;     0; 16178; 0; 0                                                          
 356.2;    0; OFF     ;     0; 16174; 0; 0                                                          
 357.2;    0; OFF     ;     0; 16169; 0; 0                                                          
 358.2;    0; OFF     ;     0; 16166; 0; 0                                                          
 359.2;    0; OFF     ;     0; 16153; 0; 0                                                          
 360.2;    0; OFF     ;     0; 16144; 0; 0                                                          
 361.2;    0; OFF     ;     0; 16134; 0; 0                                                          
 362.2;    0; OFF     ;     0; 16114; 0; 0                                                          
 363.2;    0; OFF     ;     0; 16108; 0; 0                                                          
 364.2;    0; OFF     ;     0; 16090; 0; 0                                                          
 365.2;    0; OFF     ;     0; 16068; 0; 0                                                          
 366.2;    0; OFF     ;     0; 16068; 0; 0                                                          
 367.2;    0; OFF     ;     0; 16047; 0; 0                                                          
 368.2;    0; OFF     ;     0; 16029; 0; 0                                                          
 369.2;    0; OFF     ;     0; 16023; 0; 0                                                          
 370.2;    0; OFF     ;     0; 16003; 0; 0                                                          
